iter	MultiClass	Accuracy
0	1.435926367	0.6484799618
1	1.319296918	0.6427462223
2	1.232922351	0.6452248701
3	1.163155628	0.6496744908
4	1.107270595	0.6495849012
5	1.062169829	0.6524816341
6	1.024901291	0.6506301141
7	0.9942569522	0.6508092934
8	0.9690628682	0.6495849012
9	0.9468351119	0.6534969838
10	0.9276261668	0.6536462999
11	0.9102001123	0.6534969838
12	0.8952798913	0.653915069
13	0.8822629405	0.654840829
14	0.8717886673	0.6552887774
15	0.861653027	0.6555575464
16	0.8528101229	0.6560652213
17	0.8460597551	0.6555276832
18	0.8389296288	0.6545421967
19	0.8330419646	0.6547811026
20	0.8277205181	0.6554082303
21	0.823794059	0.6556769993
22	0.8202126358	0.6560353581
23	0.8167293954	0.6557964522
24	0.8136296498	0.6563339903
25	0.8104904444	0.6558263155
26	0.8075916855	0.6561846742
27	0.8054684348	0.6574090665
28	0.8038565695	0.6580361942
29	0.8014442053	0.6574687929
30	0.7997504102	0.6574687929
31	0.7982817456	0.6575583826
32	0.797388997	0.6572298871
33	0.7964225159	0.6575285194
34	0.7951242889	0.6576181091
35	0.7935060552	0.6575583826
36	0.7926207005	0.6582153736
37	0.7920282687	0.6591411336
38	0.7910246141	0.6591709968
39	0.7900071623	0.6602162098
40	0.7891661817	0.6604252523
41	0.7881877765	0.6605745685
42	0.7872881027	0.661440602
43	0.7868312253	0.6615600549
44	0.7863778852	0.6617989608
45	0.7858584314	0.6618885504
46	0.7852649638	0.6616197814
47	0.7846847395	0.6612912859
48	0.7842573649	0.6616795079
49	0.7837054684	0.6622170459
50	0.783161804	0.6623364988
51	0.7826548425	0.6628143105
52	0.7822844494	0.6630532163
53	0.7817085125	0.6631726692
54	0.7812790153	0.6632622589
55	0.7811008488	0.663411575
56	0.7806969369	0.6638296602
57	0.7802310843	0.6635907543
58	0.7797588052	0.6636206176
59	0.779520971	0.6635608911
60	0.7794207659	0.6636504808
61	0.779068648	0.6640088395
62	0.7786121511	0.6645762408
63	0.7784398928	0.6643970615
64	0.7782370606	0.6643970615
65	0.7779508704	0.6644269247
66	0.7774744562	0.665263095
67	0.7769984677	0.665263095
68	0.7769352259	0.6651436421
69	0.7765505174	0.6654721376
70	0.7763701038	0.6655318641
71	0.7758808241	0.6656811802
72	0.7757413382	0.6657409066
73	0.7752034303	0.6660096757
74	0.7748557669	0.665920086
75	0.7746117582	0.6658304963
76	0.7744214694	0.6660096757
77	0.7739606939	0.666188855
78	0.7735278493	0.6665173505
