iter	Passed	Remaining
0	187	187356
1	242	120989
2	282	93904
3	329	82058
4	375	74747
5	433	71769
6	614	87111
7	711	88280
8	787	86695
9	848	83986
10	908	81725
11	944	77772
12	1133	86050
13	1360	95821
14	1479	97136
15	1576	96933
16	1652	95534
17	1721	93906
18	1834	94743
19	1934	94767
20	2020	94214
21	2095	93137
22	2172	92304
23	2268	92252
24	2355	91860
25	2435	91252
26	2537	91459
27	2620	90965
28	2687	89991
29	2785	90056
30	2883	90147
31	2965	89693
32	3079	90235
33	3145	89364
34	3204	88340
35	3270	87573
36	3342	86989
37	3395	85971
38	3450	85027
39	3498	83973
40	3551	83067
41	3616	82489
42	3680	81922
43	3744	81352
44	3783	80291
45	3836	79559
46	3884	78768
47	3930	77948
48	4009	77815
49	4113	78149
50	4163	77465
51	4210	76752
52	4261	76151
53	4309	75490
54	4362	74953
55	4406	74280
56	4447	73573
57	4493	72980
58	4550	72568
59	4606	72162
60	4636	71372
61	4693	71002
62	4748	70624
63	4793	70100
64	4841	69649
65	4895	69282
66	4942	68823
67	5010	68668
68	5075	68476
69	5124	68086
70	5173	67691
71	5227	67380
72	5272	66954
73	5320	66579
74	5372	66266
75	5419	65883
76	5458	65432
77	5503	65059
78	5553	64744
79	5621	64642
80	5659	64211
81	5694	63749
82	5738	63400
83	5805	63308
84	5841	62881
85	5889	62588
86	5935	62290
87	5976	61936
88	6103	62473
89	6263	63334
90	6327	63204
91	6375	62927
92	6419	62605
93	6453	62199
94	6492	61846
95	6533	61527
96	6632	61744
97	6778	62392
98	6897	62771
99	6959	62632
100	7015	62441
101	7086	62387
102	7149	62262
103	7193	61973
104	7266	61941
105	7349	61983
106	7543	62956
107	7657	63247
108	7726	63160
109	7890	63844
110	7948	63659
111	7996	63403
112	8053	63216
113	8103	62980
114	8159	62793
115	8198	62478
116	8241	62197
117	8278	61879
118	8323	61620
119	8362	61322
120	8408	61085
121	8457	60866
122	8493	60556
123	8534	60289
124	8579	60054
125	8659	60063
126	8737	60061
127	8793	59906
128	8845	59721
129	8902	59576
130	8990	59641
131	9126	60015
132	9242	60246
133	9354	60457
134	9461	60624
135	9523	60505
136	9575	60320
137	9618	60080
138	9677	59942
139	9719	59704
140	9759	59454
141	9804	59241
142	9841	58981
143	9890	58793
144	9933	58570
145	9975	58346
146	10023	58164
147	10098	58133
148	10166	58062
149	10221	57923
150	10258	57679
151	10303	57483
152	10343	57261
153	10385	57054
154	10445	56945
155	10487	56741
156	10522	56498
157	10564	56298
158	10603	56085
159	10638	55854
160	10708	55804
161	10744	55579
162	10788	55397
163	10823	55171
164	10868	54999
165	10902	54773
166	10956	54651
167	10991	54434
168	11046	54318
169	11080	54099
170	11137	53993
171	11220	54014
172	11270	53878
173	11311	53698
174	11351	53511
175	11394	53346
176	11433	53160
177	11477	53002
178	11520	52839
179	11559	52658
180	11601	52494
181	11638	52307
182	11682	52156
183	11736	52049
184	11771	51857
185	11813	51700
186	11854	51538
187	11893	51370
188	11928	51184
189	11966	51014
190	12015	50892
191	12057	50740
192	12099	50592
193	12152	50490
194	12214	50423
195	12269	50328
196	12315	50199
197	12352	50033
198	12398	49905
199	12440	49762
200	12476	49595
201	12518	49454
202	12559	49309
203	12599	49164
204	12639	49017
205	12680	48875
206	12714	48709
207	12770	48625
208	12806	48466
209	12842	48313
210	12883	48174
211	12924	48039
212	12967	47912
213	13012	47792
214	13060	47685
215	13111	47591
216	13158	47480
217	13222	47432
218	13282	47367
219	13334	47276
220	13395	47218
221	13458	47164
222	13503	47051
223	13559	46973
224	13612	46886
225	13673	46828
226	13729	46753
227	13807	46753
228	13845	46616
229	13893	46511
230	13949	46438
231	13999	46341
232	14049	46249
233	14094	46139
234	14137	46020
235	14185	45921
236	14260	45909
237	14313	45826
238	14362	45731
239	14414	45645
240	14457	45533
241	14507	45441
242	14550	45328
243	14587	45197
244	14624	45068
245	14664	44946
246	14700	44816
247	14732	44671
248	14770	44549
249	14840	44520
250	14880	44404
251	14916	44274
252	14957	44162
253	14996	44046
254	15039	43938
255	15084	43840
256	15120	43714
257	15155	43586
258	15190	43461
259	15249	43401
260	15298	43315
261	15371	43297
262	15409	43180
263	15453	43081
264	15491	42967
265	15539	42878
266	15602	42835
267	15671	42803
268	15708	42686
269	15742	42563
270	15784	42461
271	15820	42342
272	15894	42327
273	15930	42210
274	15966	42093
275	16010	41999
276	16057	41912
277	16102	41820
278	16140	41711
279	16184	41617
280	16228	41525
281	16274	41435
282	16328	41370
283	16383	41305
284	16423	41203
285	16465	41106
286	16508	41012
287	16556	40931
288	16605	40853
289	16653	40771
290	16691	40667
291	16729	40563
292	16764	40451
293	16800	40342
294	16842	40251
295	16914	40228
296	16951	40124
297	16992	40028
298	17040	39950
299	17083	39862
300	17126	39771
301	17170	39685
302	17212	39593
303	17251	39497
304	17298	39417
305	17351	39353
306	17454	39399
307	17531	39388
308	17569	39289
309	17614	39207
310	17659	39122
311	17708	39048
312	17752	38965
313	17798	38883
314	17849	38816
315	17893	38730
316	17960	38698
317	18000	38604
318	18044	38520
319	18090	38441
320	18129	38348
321	18178	38276
322	18214	38176
323	18259	38097
324	18299	38006
325	18347	37932
326	18394	37858
327	18466	37834
328	18518	37769
329	18557	37677
330	18606	37605
331	18633	37492
332	18679	37414
333	18743	37374
334	18788	37297
335	18823	37198
336	18865	37115
337	18906	37030
338	18977	37002
339	19026	36933
340	19072	36857
341	19109	36765
342	19144	36671
343	19189	36593
344	19221	36492
345	19267	36418
346	19307	36334
347	19370	36292
348	19432	36248
349	19478	36173
350	19537	36124
351	19579	36043
352	19622	35964
353	19669	35893
354	19706	35804
355	19752	35732
356	19793	35650
357	19839	35577
358	19881	35499
359	19922	35417
360	19958	35327
361	20039	35318
362	20078	35233
363	20114	35145
364	20156	35066
365	20200	34991
366	20250	34927
367	20287	34841
368	20335	34774
369	20383	34707
370	20423	34626
371	20473	34562
372	20534	34517
373	20580	34447
374	20617	34363
375	20658	34284
376	20699	34207
377	20738	34124
378	20772	34035
379	20807	33949
380	20842	33861
381	20888	33792
382	20932	33721
383	20987	33667
384	21092	33693
385	21152	33647
386	21190	33564
387	21233	33492
388	21269	33407
389	21309	33330
390	21343	33242
391	21378	33159
392	21428	33097
393	21463	33012
394	21498	32928
395	21559	32884
396	21635	32861
397	21690	32807
398	21742	32750
399	21783	32675
400	21833	32614
401	21882	32551
402	21925	32480
403	21974	32417
404	22025	32359
405	22063	32280
406	22140	32259
407	22184	32188
408	22227	32118
409	22260	32033
410	22297	31954
411	22332	31872
412	22373	31799
413	22407	31716
414	22451	31648
415	22491	31574
416	22528	31496
417	22574	31431
418	22626	31374
419	22682	31323
420	22727	31256
421	22774	31193
422	22814	31120
423	22850	31041
424	22892	30972
425	22925	30890
426	22962	30813
427	23005	30745
428	23074	30712
429	23129	30660
430	23211	30643
431	23253	30573
432	23284	30490
433	23325	30420
434	23362	30344
435	23405	30277
436	23446	30206
437	23506	30161
438	23552	30097
439	23591	30025
440	23629	29951
441	23687	29903
442	23738	29847
443	23789	29790
444	23840	29733
445	23891	29676
446	23931	29606
447	23971	29536
448	24005	29458
449	24044	29387
450	24089	29324
451	24140	29267
452	24188	29208
453	24269	29187
454	24311	29120
455	24350	29050
456	24390	28980
457	24433	28914
458	24470	28841
459	24516	28780
460	24564	28720
461	24603	28651
462	24646	28585
463	24686	28517
464	24741	28465
465	24794	28412
466	24833	28342
467	24868	28269
468	24902	28194
469	24939	28123
470	24979	28055
471	25015	27983
472	25054	27915
473	25128	27885
474	25241	27898
475	25372	27931
476	25424	27876
477	25474	27819
478	25529	27768
479	25593	27726
480	25644	27670
481	25692	27611
482	25739	27550
483	25784	27488
484	25837	27435
485	25894	27385
486	25949	27334
487	26046	27327
488	26105	27279
489	26163	27231
490	26201	27161
491	26260	27114
492	26303	27050
493	26396	27038
494	26537	27073
495	26613	27043
496	26676	26998
497	26734	26948
498	26796	26904
499	26849	26849
500	26915	26808
501	26995	26780
502	27073	26750
503	27139	26708
504	27210	26671
505	27263	26616
506	27319	26564
507	27384	26521
508	27542	26568
509	27661	26576
510	27717	26523
511	27775	26473
512	27829	26419
513	27870	26351
514	27905	26279
515	27949	26215
516	27983	26143
517	28031	26083
518	28094	26037
519	28148	25983
520	28189	25917
521	28225	25846
522	28263	25777
523	28300	25708
524	28341	25642
525	28381	25575
526	28414	25502
527	28460	25442
528	28508	25383
529	28555	25323
530	28595	25256
531	28702	25249
532	28734	25176
533	28774	25110
534	28810	25040
535	28861	24984
536	28896	24914
537	28940	24852
538	28977	24784
539	29019	24720
540	29059	24655
541	29120	24607
542	29174	24553
543	29235	24505
544	29276	24442
545	29319	24379
546	29356	24312
547	29390	24242
548	29429	24175
549	29469	24111
550	29510	24047
551	29565	23995
552	29629	23949
553	29760	23959
554	29822	23911
555	29870	23853
556	29917	23794
557	29963	23734
558	30014	23679
559	30056	23615
560	30100	23554
561	30134	23485
562	30173	23420
563	30232	23371
564	30291	23321
565	30344	23267
566	30385	23204
567	30430	23144
568	30468	23078
569	30514	23019
570	30560	22960
571	30602	22898
572	30675	22859
573	30749	22820
574	30851	22803
575	30892	22740
576	30932	22676
577	30966	22608
578	31019	22554
579	31059	22491
580	31101	22429
581	31136	22362
582	31176	22299
583	31210	22232
584	31249	22168
585	31308	22118
586	31360	22064
587	31396	21998
588	31433	21933
589	31474	21872
590	31512	21808
591	31562	21752
592	31609	21694
593	31643	21628
594	31685	21567
595	31723	21503
596	31763	21441
597	31837	21402
598	31922	21370
599	31955	21303
600	31994	21241
601	32032	21177
602	32073	21116
603	32111	21053
604	32155	20993
605	32197	20933
606	32235	20871
607	32278	20811
608	32322	20751
609	32371	20696
610	32423	20642
611	32468	20584
612	32503	20520
613	32548	20461
614	32590	20402
615	32631	20342
616	32666	20277
617	32706	20216
618	32748	20156
619	32784	20093
620	32835	20039
621	32904	19996
622	33022	19982
623	33075	19930
624	33141	19884
625	33200	19835
626	33290	19804
627	33337	19747
628	33374	19685
629	33424	19630
630	33479	19578
631	33539	19529
632	33596	19478
633	33674	19439
634	33791	19423
635	33957	19435
636	34072	19416
637	34116	19357
638	34157	19297
639	34197	19236
640	34236	19174
641	34275	19113
642	34324	19057
643	34367	18997
644	34414	18941
645	34450	18878
646	34514	18831
647	34594	18791
648	34637	18732
649	34685	18677
650	34728	18618
651	34772	18559
652	34813	18499
653	34854	18439
654	34898	18381
655	34951	18328
656	34993	18268
657	35037	18210
658	35149	18188
659	35209	18138
660	35250	18078
661	35294	18020
662	35329	17957
663	35378	17902
664	35429	17847
665	35479	17793
666	35529	17738
667	35586	17686
668	35660	17643
669	35759	17612
670	35805	17556
671	35846	17496
672	35891	17439
673	35967	17396
674	36005	17336
675	36075	17290
676	36121	17233
677	36229	17206
678	36273	17148
679	36310	17087
680	36356	17030
681	36403	16974
682	36443	16914
683	36487	16856
684	36524	16796
685	36563	16736
686	36604	16677
687	36651	16620
688	36711	16570
689	36766	16518
690	36805	16458
691	36841	16397
692	36882	16339
693	36922	16280
694	36959	16219
695	37016	16168
696	37053	16107
697	37097	16050
698	37144	15994
699	37188	15937
700	37321	15918
701	37383	15869
702	37434	15815
703	37524	15777
704	37583	15726
705	37633	15671
706	37688	15619
707	37753	15570
708	37836	15529
709	37888	15475
710	37951	15426
711	37991	15367
712	38047	15315
713	38089	15256
714	38137	15201
715	38174	15141
716	38218	15084
717	38262	15027
718	39132	15293
719	39176	15235
720	39217	15175
721	39261	15117
722	39308	15059
723	39355	15002
724	39413	14950
725	39454	14890
726	39505	14834
727	39554	14778
728	39614	14726
729	39668	14671
730	39706	14611
731	39751	14553
732	39788	14493
733	39830	14434
734	39869	14374
735	39917	14318
736	39954	14257
737	40002	14201
738	40048	14144
739	40093	14087
740	40232	14062
741	40270	14002
742	40315	13944
743	40354	13885
744	40405	13829
745	40453	13773
746	40495	13715
747	40535	13656
748	40582	13599
749	40621	13540
750	40683	13489
751	40735	13434
752	40781	13377
753	40823	13319
754	40864	13260
755	40903	13201
756	40945	13143
757	41019	13095
758	41081	13044
759	41130	12988
760	41178	12932
761	41281	12893
762	41323	12835
763	41359	12776
764	41397	12716
765	41433	12657
766	41495	12605
767	41613	12570
768	41664	12515
769	41714	12460
770	41778	12408
771	41932	12384
772	42125	12370
773	42200	12322
774	42256	12268
775	42463	12257
776	42515	12202
777	42684	12179
778	42749	12127
779	42826	12079
780	42907	12031
781	42991	11984
782	43034	11926
783	43081	11869
784	43129	11812
785	43167	11752
786	43211	11695
787	43256	11637
788	43299	11579
789	43354	11524
790	43411	11470
791	43505	11425
792	43555	11369
793	43593	11310
794	43635	11252
795	43675	11193
796	43721	11136
797	43765	11078
798	43813	11021
799	43866	10966
800	43904	10907
801	43955	10851
802	44008	10796
803	44064	10742
804	44108	10684
805	44161	10629
806	44204	10571
807	44240	10512
808	44286	10455
809	44323	10396
810	44362	10338
811	44406	10281
812	44444	10222
813	44480	10163
814	44557	10114
815	44644	10066
816	44689	10009
817	44728	9951
818	44769	9894
819	44817	9837
820	44869	9782
821	44913	9725
822	44956	9668
823	44995	9610
824	45040	9554
825	45088	9498
826	45153	9445
827	45193	9387
828	45242	9332
829	45285	9275
830	45327	9218
831	45370	9161
832	45406	9103
833	45444	9045
834	45486	8988
835	45528	8931
836	45568	8874
837	45624	8819
838	45831	8794
839	45922	8747
840	45988	8694
841	46036	8638
842	46126	8590
843	46231	8545
844	46302	8493
845	46404	8447
846	46500	8399
847	46549	8343
848	46596	8287
849	46635	8229
850	46671	8171
851	46711	8114
852	46832	8070
853	46878	8014
854	46928	7958
855	46986	7904
856	47067	7853
857	47163	7805
858	47230	7752
859	47285	7697
860	47344	7643
861	47403	7588
862	47462	7534
863	47560	7486
864	47596	7428
865	47639	7371
866	47678	7313
867	47717	7256
868	47764	7200
869	47811	7144
870	47929	7098
871	47994	7045
872	48111	6999
873	48196	6948
874	48257	6893
875	48322	6840
876	48422	6791
877	48512	6740
878	48781	6715
879	49014	6683
880	49289	6657
881	49456	6616
882	49635	6576
883	49717	6523
884	49858	6478
885	49962	6428
886	50045	6375
887	50312	6345
888	50460	6300
889	50591	6252
890	50721	6204
891	50805	6151
892	50894	6098
893	50972	6043
894	51052	5989
895	51139	5935
896	51222	5881
897	51270	5823
898	51467	5782
899	51536	5726
900	51590	5668
901	51634	5609
902	51675	5551
903	51717	5492
904	51759	5433
905	51810	5375
906	51855	5317
907	51899	5258
908	51988	5204
909	52073	5150
910	52122	5092
911	52180	5034
912	52236	4977
913	52272	4918
914	52318	4860
915	52354	4801
916	52403	4743
917	52447	4684
918	52701	4645
919	52772	4588
920	52821	4530
921	52873	4473
922	52920	4414
923	52978	4357
924	53014	4298
925	53054	4239
926	53120	4183
927	53195	4127
928	53259	4070
929	53308	4012
930	53360	3954
931	53403	3896
932	53437	3837
933	53483	3779
934	53528	3721
935	53563	3662
936	53602	3604
937	53681	3548
938	53851	3498
939	53916	3441
940	53984	3384
941	54052	3328
942	54117	3271
943	54229	3216
944	54294	3159
945	54360	3103
946	54446	3047
947	54499	2989
948	54547	2931
949	54603	2873
950	54663	2816
951	54796	2762
952	55029	2713
953	55095	2656
954	55167	2599
955	55230	2542
956	55286	2484
957	55339	2426
958	55383	2367
959	55448	2310
960	55505	2252
961	55565	2194
962	55629	2137
963	55694	2079
964	55793	2023
965	55877	1966
966	55959	1909
967	56163	1856
968	56267	1800
969	56357	1743
970	56459	1686
971	56571	1629
972	56644	1571
973	56696	1513
974	56777	1455
975	56853	1398
976	56917	1339
977	56987	1281
978	57063	1224
979	57117	1165
980	57159	1107
981	57279	1049
982	57326	991
983	57366	932
984	57409	874
985	57444	815
986	57478	757
987	57544	698
988	57589	640
989	57634	582
990	57683	523
991	57749	465
992	57806	407
993	57878	349
994	57928	291
995	57980	232
996	58036	174
997	58087	116
998	58137	58
999	58169	0
