adopt_feature,adopt_importance,euth_feature,euth_importance,transfer_feature,transfer_importance
sex_upon_intake_Unknown,5.105791606683702,age_upon_intake_in_days,2.940618502306403,age_upon_intake_in_days,2.102219612206921
age_upon_intake_in_days,3.569140648520405,intake_condition_Injured,1.6922299327392656,sex_upon_intake_Unknown,1.7864116323158097
intake_condition_Neonatal,1.7433035051822883,intake_condition_Sick,1.3258713734897059,intake_condition_Neonatal,1.7060635024250177
sex_upon_intake_Spayed Female,1.5757431154639334,color_Torbie/White,1.2600471393955248,breed_Maine Coon,1.3521252140679063
sex_upon_intake_Neutered Male,1.3971997622560484,color_Orange Tabby/Brown,1.117555527308748,color_Chocolate Point/White,1.259864562547106
color_Brown Tabby/Silver,1.3959999416683226,intake_type_Euthanasia Request,1.0832495428766415,color_Brown Tabby/Silver,1.2538738651732213
breed_Maine Coon,1.3566537266969323,intake_condition_Normal,1.0647092978121888,intake_condition_Space,1.1727091003733723
color_Chocolate Point/White,1.2170681285306229,color_Tortie/Black,1.026331057365912,intake_condition_Injured,1.1102582879828193
color_Tortie/Tortie,1.1045997209512086,color_Brown/Black,0.9640772905504298,breed_Manx,1.1032319631060403
breed_Munchkin Longhair/Ragdoll,1.0899697972491544,breed_Exotic Shorthair,0.9607691523614457,breed_Colorpoint Mix,1.0482367389592686
sex_upon_intake_Intact Male,1.0550125515120352,color_Apricot/White,0.9593481539478336,color_Brown Tabby/Black,1.0425447822680052
breed_Turkish Angora Mix,1.050525610399389,breed_Ragdoll/Snowshoe,0.8807079431409092,intake_condition_Aged,1.032345994156394
intake_type_Euthanasia Request,1.0471708145807261,color_White/Cream,0.8518325842214512,color_Chocolate/Brown Tabby,1.0226652101326288
breed_Colorpoint Mix,1.045752155028616,sex_upon_intake_Unknown,0.8212342150300768,breed_Munchkin Longhair/Ragdoll,1.0155764892738264
color_Lynx Point/Tortie Point,1.0283390763777842,breed_American Shorthair,0.8144131131605998,color_Gray/Gray,1.0113202184786458
intake_condition_Space,1.028064112274079,breed_Turkish Angora Mix,0.8109124527355822,color_Brown/Black,1.0046978898462278
color_Orange,1.0085312158580584,color_Tortie/Blue Cream,0.8086660810703246,color_Buff,0.995703288558883
breed_Manx,0.9964445850186103,intake_condition_Medical,0.7902414749095718,color_White/Chocolate Point,0.9765838783576362
breed_American Shorthair Mix,0.9950375123487862,intake_condition_Neonatal,0.7727481753192147,color_Black/Tortie,0.9536456312192776
sex_upon_intake_Intact Female,0.9849952589444783,color_Tortie/White,0.7583614894277362,breed_Munchkin Longhair Mix,0.9437616076186722
color_Gray/White,0.9830030765847186,breed_Cornish Rex Mix,0.7303238998678202,color_Black/Gray,0.9425456857021166
intake_condition_Aged,0.9767830145211231,color_Lilac Point,0.7034183457188857,color_Gray Tabby/Gray,0.889402234018981
color_Buff,0.9714961479692487,color_Brown Tabby/Red,0.701766995782259,color_Brown Tabby/Orange,0.8884917964192538
color_Brown Tabby/Orange,0.965701505283997,intake_condition_Nursing,0.7010429961271819,color_Brown Tabby/Tortie,0.8696861102579673
color_Orange Tiger,0.9559474753773525,intake_condition_Other,0.7006934791500304,color_Blue Point/White,0.8675034902640139
color_Brown Tabby/Tortie,0.9477521677987385,color_Cream/White,0.691127756858049,color_Black/Gray Tabby,0.8608999142309974
color_Chocolate/Brown Tabby,0.9413607073628657,breed_Balinese Mix,0.6807196642307033,color_Gray/Orange,0.8443932650661148
breed_Ragdoll/Snowshoe,0.9340809986412307,breed_American Shorthair Mix,0.677196737190749,color_Lynx Point/Tortie Point,0.8436590790244645
breed_Munchkin Longhair Mix,0.9187635309935305,breed_Domestic Medium Hair Mix,0.6771169602515921,color_Tan/Brown,0.8396187750863963
breed_Ragdoll,0.9183534537944742,color_White/Tan,0.6764190142337168,color_Lilac Point/Cream,0.8344679079728557
color_Black/Orange,0.9178433680850931,color_Cream,0.6463111237888031,color_Gray/White,0.8258531952907853
color_Blue Smoke,0.8984261102795802,breed_Domestic Shorthair Mix,0.6313665850086443,color_Tortie/Tortie,0.8182094809664366
color_Gray/Gray,0.8974341031692905,breed_Himalayan,0.6135086564889343,breed_American Shorthair Mix,0.8051619087343821
color_Gray Tabby/Gray,0.8946072152657941,color_White/Tortie,0.6110230152090514,color_Black/Silver,0.7895763627044442
color_White/Chocolate Point,0.8923158630268639,color_Blue Cream/White,0.6012084355188042,breed_Russian Blue,0.7894121018860442
color_Brown Tabby/Black,0.8786925463433469,intake_type_Abandoned,0.5965701976883027,color_Tortie/Blue Cream,0.776362431777939
color_Blue Point/White,0.8347284920136702,color_Black/Tortie,0.596197748646889,color_Torbie/Brown,0.7707324360717824
breed_Bombay Mix,0.8188136820315535,color_Black/Gray,0.595850409570737,intake_condition_Medical,0.7381917054420764
color_Orange Tabby/Cream,0.8114115737328926,color_White/Seal Point,0.5795208229623359,breed_Turkish Van Mix,0.7335079260213241
intake_condition_Normal,0.8113487016650692,breed_Domestic Longhair Mix,0.5779438913027378,color_Brown/White,0.7301659887450757
color_White/Lynx Point,0.7896563695751466,color_Cream Tiger,0.5597628880569185,color_Black/Orange,0.7086377081610125
color_Gray Tabby,0.7751421091112671,color_White/Yellow,0.5597628880569185,color_Seal Point/Brown,0.7053490538013486
color_Black/Gray Tabby,0.7525668625447226,color_Gray/Brown,0.5595462138584394,color_Black/Black Tabby,0.7017507853881942
color_Calico/White,0.725905221363854,color_Seal Point,0.5569588845097254,color_Orange Tiger,0.6979617119750298
intake_type_Owner Surrender,0.7196622084432385,color_Tan,0.5497813619684829,sex_upon_intake_Spayed Female,0.6974673053497226
breed_Persian Mix,0.7180376619276827,color_Lilac Point/Cream,0.5490858872372126,color_Cream/Black,0.6834541559749592
color_Gray,0.7151067960668359,color_Cream Tabby,0.5490152266683531,breed_Domestic Longhair/Siamese,0.6798642969854346
color_Blue Cream/White,0.7118876747366137,color_Tricolor/Orange,0.5471001917985405,color_Blue Smoke,0.6706488656159078
color_Seal Point/Brown,0.708722967258167,color_Gray Tabby/Black,0.5434099292433494,color_Gray/Black,0.6681121675631487
breed_Turkish Van Mix,0.7068794642853808,breed_Russian Blue,0.5365382430063105,color_Calico/Orange,0.6654659628208291
color_Cream Tabby/Orange Tabby,0.7041793970056818,color_Silver,0.5340206058054858,color_White/White,0.6500679810094803
color_Gray/Black,0.6951924538998664,color_Calico Point,0.531787374072807,color_Orange,0.6441728572704297
breed_Domestic Longhair/Siamese,0.6892902422291971,breed_Manx Mix,0.527284637048819,color_Gray Tabby,0.6354225948473811
color_Calico/Blue Cream,0.6853241771290483,color_Tan/Black,0.5198318427000197,breed_Ragdoll,0.6339533474560319
color_Silver Lynx Point/White,0.6803196384775859,color_Calico/Gray Tabby,0.5197589403322581,color_Orange Tabby/Apricot,0.6285159887009767
breed_Domestic Shorthair/Domestic Shorthair,0.6796906238535325,color_Tortie Point,0.5165067434441233,color_Flame Point/Cream,0.6281038738898133
breed_Burmese,0.6764441101160026,color_Brown Tiger,0.5090088541583827,breed_Turkish Angora Mix,0.6201169751037493
color_Black Tiger,0.667027007969678,color_Black Brindle,0.5006031357032802,color_Cream Tabby/Orange,0.6197651637374143
color_Blue Tabby/Cream,0.6572068412237101,breed_Persian Mix,0.49918050158147564,color_Red,0.6154187077557263
breed_Persian,0.6550945914245787,color_Black Smoke,0.4991549413523411,color_Calico/Blue Cream,0.6096635458991531
color_Black/Brown,0.6515358551890669,color_White/Gray Tabby,0.49000294330436966,color_Tortie/Blue,0.6060807704509319
color_Tricolor,0.6382360503516634,breed_Russian Blue Mix,0.4886186265498768,color_Black Tiger,0.6060282109864832
color_Chocolate,0.6335076357040575,color_Flame Point/White,0.4787083048944192,breed_Domestic Shorthair/Domestic Shorthair,0.6035396603818678
breed_Devon Rex Mix,0.6331897519342349,color_Black/Orange,0.4760123981686541,color_Blue Tabby/Orange,0.6028996423302885
color_White/Red,0.6268942797574223,color_Tan/Brown,0.47023367480365197,color_Brown Tabby/Brown Tabby,0.5989868803452492
breed_Russian Blue Mix,0.6213530324349198,intake_condition_Feral,0.46331910302946067,breed_Bombay Mix,0.5963213349712739
color_Blue Tabby/White,0.6183188944548214,color_Brown/White,0.46308880604110375,color_Tan,0.5928417305529353
color_Cream Tabby/Orange,0.6115174858265916,color_Brown/Buff,0.4625728791553908,color_Blue Tabby/Tortie,0.587911371570565
breed_Domestic Shorthair Mix,0.6107351177530158,color_Red/White,0.4607611258398656,color_Tricolor/White,0.5793417899155026
color_Flame Point/Cream,0.6055774453185337,color_White/Buff,0.4601858862579396,color_Tan/Chocolate Point,0.5737781036479364
color_Tortie Point/White,0.6034975567513503,color_Chocolate Point,0.4539223136888649,color_Chocolate Point,0.5721170186239596
color_Orange/White,0.5993119397480999,color_Red,0.43843551743579284,breed_Devon Rex Mix,0.5689556134878092
color_Chocolate/White,0.5965501258285247,color_Black Smoke/Black Tiger,0.43424766114825286,color_Orange Tabby/Orange Tabby,0.5571161330211845
color_Black/Tortie,0.5921784416738942,color_Blue/Blue,0.43361678714138996,color_Blue Tabby/Cream,0.5549164293550479
color_Brown/White,0.5889909643557847,color_Blue/White,0.4322230847589188,color_Calico/White,0.5531022499495828
intake_condition_Medical,0.587694664337976,color_Silver Lynx Point,0.4279123160399704,color_Chocolate,0.5526263348504548
color_Brown/Seal Point,0.5850967002976812,color_White/Orange,0.4233765256721993,intake_type_Euthanasia Request,0.5480231429907799
color_White/Tortie,0.5746619547835176,color_Calico/White,0.42221561397176577,color_Brown/Seal Point,0.5322518419746511
breed_Norwegian Forest Cat Mix,0.5739907740021752,breed_Manx,0.4121108912775312,breed_Persian Mix,0.5306846211164206
color_Orange/Orange Tabby,0.5738727442091527,color_Brown/Brown Brindle,0.41085716754075596,breed_Norwegian Forest Cat Mix,0.5290479548050419
color_Chocolate Point,0.5730756666349944,color_Buff/White,0.397695904149275,color_Chocolate/White,0.526991664289874
color_Calico/Orange,0.5593244475532576,color_Silver Tabby,0.3915305085143447,breed_Russian Blue Mix,0.5233445896281818
color_Lynx Point/Tan,0.5572680763569341,color_Brown Tabby/Brown,0.3880439886422531,color_Orange Tabby/Cream,0.5232323788915387
color_Torbie/Brown,0.5557406463686364,color_Cream/Brown,0.3804791538982217,intake_type_Stray,0.5222566549160669
color_Blue Tabby/Orange,0.5525031957729278,color_Silver Tabby/White,0.37961842716397803,intake_condition_Feral,0.5218183586188901
color_White/Agouti,0.546988636061229,breed_Burmese Mix,0.37414005122148314,breed_Siamese/Snowshoe,0.5173417383203164
color_Yellow/Cream,0.5431278278621244,color_Orange Tabby/Apricot,0.3732776381853822,breed_Exotic Shorthair Mix,0.5128380701685383
color_Torbie/White,0.5408784060225289,intake_type_Owner Surrender,0.3714706828970366,color_Cream/Tan,0.5050886327574687
color_White/Lilac Point,0.5376646189352791,sex_upon_intake_Neutered Male,0.3609010422664979,color_Seal Point/Gray,0.504157339289725
breed_Siamese/Snowshoe,0.5365592455199477,color_Brown/Gray,0.3556874698413659,sex_upon_intake_Neutered Male,0.5018223855284302
color_White/Buff,0.5279127835225171,color_Black Tabby/Gray Tabby,0.35534798930693823,color_Black/Blue,0.5016222439241695
color_White/Brown Brindle,0.5199382697735045,color_Tortie Point/White,0.3511854536473267,intake_condition_Sick,0.499961731127227
color_Tortie/Blue,0.5170236248522065,color_Brown,0.3497503739128408,breed_Tonkinese Mix,0.49885153375405555
color_Blue Tabby/Brown,0.5166802058705184,color_Brown/Brown Tabby,0.3437500421597407,color_White/Lilac Point,0.49767995168020224
color_Black Brindle,0.5015532468216573,color_Calico Point/White,0.3387814761631627,color_Cream/Gray,0.4976018698029797
color_Cream/Black,0.5003819759633025,color_Cream/Tan,0.338441108025046,color_Yellow/Cream,0.49667535717646627
breed_Russian Blue,0.4940124801908353,color_Tan/Cream Tabby,0.33779587649401194,color_Seal Point/Buff,0.4948617085188965
color_Tan/Brown,0.4902140159135493,color_Orange Tabby/Cream,0.33272875215246495,color_Blue Cream/Tortie,0.4900303433541562
color_Cream/Gray,0.4897072748263876,color_Black/Black,0.33190239282167644,breed_Cornish Rex Mix,0.48988699847975453
color_Seal Point/Gray,0.48903223956253117,color_White/Calico,0.3279824628888624,color_White/Agouti,0.48727123478858847
breed_Siamese Mix,0.48655643625829825,color_Black Tabby,0.3257140428123295,breed_Persian,0.4845105118180323
breed_Domestic Shorthair,0.4831372488811502,breed_Ragdoll Mix,0.32246000373331857,color_Blue Tabby/White,0.48098904050243596
color_Apricot/White,0.4813692759911017,breed_Tonkinese Mix,0.3202384471575131,breed_Snowshoe,0.4732167330554658
color_Lynx Point/Gray,0.4791390452379255,breed_Bengal,0.3183901589998745,color_Lynx Point/Gray,0.4696592431706056
color_Blue/Tortie,0.46666831277151277,color_Torbie/Brown Tabby,0.31815370906122536,color_Black/Tricolor,0.4567485430065385
color_Blue Tabby/Black,0.4566058092497808,color_White/Brown,0.3178711189530754,color_Orange/White,0.45382877577274894
color_Seal Point/Buff,0.45537474918837595,color_Orange Tabby/White,0.3167685357400408,color_White/Lynx Point,0.4525430891351492
color_Black/Black Tabby,0.4553071076175431,breed_Abyssinian Mix,0.3111778151389737,color_Orange Tabby/Brown,0.45187260536669827
color_Cream/Blue Point,0.44749311009180126,color_Lynx Point/White,0.30629035340813643,color_Seal Point/Cream,0.44386579555383465
color_Brown/Brown Tabby,0.4474639716730628,color_Cream/Seal Point,0.30325900256825056,breed_Domestic Shorthair Mix,0.4431170089156825
color_Blue Cream/Tortie,0.4472101509041956,color_Black Tabby/White,0.3027335834577108,color_Black/Brown,0.44072207156605747
color_Gray Tabby/Black,0.4441098965789504,breed_Himalayan Mix,0.2992885792843196,color_Blue Tabby/Buff,0.44000409107108646
color_Blue/Blue,0.4430069918534849,breed_Maine Coon Mix,0.29799180022502775,color_Torbie/Silver Tabby,0.4395400259268611
color_Black/Blue,0.44189345313292244,breed_Domestic Shorthair,0.2950619290686322,breed_Angora Mix,0.4350329958028918
breed_Angora Mix,0.44042258844554577,color_Lynx Point,0.2947397917979026,color_Tortie Point/Lynx Point,0.42838023453045315
breed_Exotic Shorthair,0.43937566075093293,color_Brown Tabby/Black,0.29384438297287346,breed_American Curl Shorthair Mix,0.4280896447042436
color_Cream,0.4366185403548816,color_Lynx Point/Tan,0.29118031119664267,color_Gray/Tan,0.42237383904302916
color_Black Smoke,0.4363102430150639,color_White/Blue Tabby,0.28988866183931034,color_Buff/White,0.42175466234970993
color_Tortie Point/Blue,0.43609353815526775,color_Calico/Calico,0.28729955030939863,breed_Oriental Sh Mix,0.4211829994128651
breed_Oriental Sh Mix,0.43158729916874405,color_Cream Tabby/Orange Tabby,0.28637110047794967,color_Brown/Cream,0.41600659422738595
color_Orange Tabby/Brown,0.4300292477902897,color_Orange Tiger,0.2850936158606873,color_Calico Point/Gray,0.41580232045066645
breed_Domestic Medium Hair Mix,0.4296724624546873,color_Brown/Orange,0.2846320429756373,color_Blue Tabby/Black,0.4135726911707677
color_White/Silver Tabby,0.4206207570791546,color_Gray/Gray Tabby,0.2806347378248286,breed_Siamese Mix,0.41266997044793025
color_Tortie/White,0.42022898400320424,intake_type_Public Assist,0.28022046015721336,color_Black Smoke/Black Tiger,0.40960108415525964
breed_Snowshoe,0.4189265477984844,breed_Burmese,0.28019506643426245,color_Cream/Brown,0.4095474963040644
color_White/Calico Point,0.4152742675914719,color_Tricolor,0.27495205628841196,color_Cream Tabby/Orange Tabby,0.40902584540988446
color_Brown Brindle,0.41385321418090115,sex_upon_intake_Spayed Female,0.2721559435432021,color_Brown/Buff,0.4089192337204838
color_Orange Tabby/Orange,0.4121283602037202,color_White/Gray,0.2675185838310826,breed_Domestic Shorthair/Siamese,0.40763949500018376
color_Seal Point/Cream,0.41091407623696347,color_Orange/Orange Tabby,0.2661074604510146,intake_condition_Normal,0.40518405894264653
color_Lilac Point/White,0.40328495706483264,color_White/Silver Tabby,0.2653766139459895,color_Silver Lynx Point,0.403051978164231
