adopt_feature,adopt_importance,euth_feature,euth_importance,transfer_feature,transfer_importance
sex_upon_intake_Unknown,3.812497629274066,age_upon_intake_in_days,3.835004864504671,breed_Pug,2.3442796203821614
breed_Pug,2.3510397885295706,intake_type_Euthanasia Request,2.0903347579214406,breed_Pekingese,2.2131280893416956
breed_Black Mouth Cur/Doberman Pinsch,2.189625163399408,breed_Labrador Retriever/Pointer,1.7138149293150904,breed_Black Mouth Cur/Doberman Pinsch,2.153544233524946
breed_Pekingese,2.083073994929156,sex_upon_intake_Unknown,1.5791596936937111,breed_Cocker Spaniel,1.9315342722527684
breed_Lhasa Apso Mix,1.9257612118646203,breed_Welsh Terrier Mix,1.5775689569753528,breed_Anatol Shepherd/Australian Shepherd,1.9158933558731945
breed_Anatol Shepherd/Australian Shepherd,1.9124729292411555,breed_Standard Schnauzer,1.4188371701719313,breed_Lhasa Apso Mix,1.856853864990048
breed_Shih Tzu,1.8984446109386413,breed_American Staffordshire Terrier Mix,1.3172965419297151,breed_Shih Tzu Mix,1.8533959369546131
breed_Shih Tzu Mix,1.8734836358368532,intake_condition_Normal,1.275819293023728,breed_Havanese,1.8511394683290492
breed_Dogo Argentino Mix,1.8455062725791127,intake_condition_Injured,1.2705340657152076,breed_Weimaraner,1.8444341757021994
breed_Weimaraner,1.841245695840526,breed_Catahoula/Plott Hound,1.241812815419011,breed_Shih Tzu,1.76384748750249
breed_Havanese,1.822540985229671,breed_Cairn Terrier/Chihuahua Shorthair,1.2010676010748567,breed_Dachshund/Manchester Terrier,1.664918465824511
breed_Dachshund/Manchester Terrier,1.7128614266378555,breed_Australian Cattle Dog/Pit Bull,1.1988510469089724,breed_English Springer Spaniel Mix,1.631628424419504
breed_Cocker Spaniel,1.6568459865671263,breed_Shetland Sheepdog Mix,1.178710809712252,breed_Brittany Mix,1.597022086795482
intake_type_Euthanasia Request,1.646961382582007,breed_Bullmastiff Mix,1.1782302224494234,breed_Maltese,1.5576464614841095
breed_Boston Terrier,1.581116310074988,breed_Toy Fox Terrier Mix,1.1714158983943783,breed_Maltese/Shih Tzu,1.5562335787980481
