adopt_feature,adopt_importance,euth_feature,euth_importance,transfer_feature,transfer_importance
sex_upon_intake_Unknown,0.4808054566383362,intake_condition_Normal,0.1665390580892563,sex_upon_intake_Unknown,0.29995036125183105
intake_type_Stray,0.07455779612064362,intake_condition_Injured,0.12810847163200378,intake_type_Stray,0.08205834031105042
intake_condition_Normal,0.02478960156440735,intake_condition_Nursing,0.0820164754986763,intake_condition_Injured,0.038908589631319046
age_upon_intake_in_days,0.01611633598804474,intake_condition_Sick,0.07573267072439194,intake_condition_Normal,0.028093479573726654
sex_upon_intake_Spayed Female,0.014149789698421955,sex_upon_intake_Unknown,0.04617295414209366,intake_condition_Sick,0.022855550050735474
color_Gray Tabby,0.012219359166920185,intake_type_Stray,0.017254728823900223,sex_upon_intake_Spayed Female,0.02257205918431282
intake_condition_Sick,0.011797742918133736,color_Tortie/Black,0.012116365134716034,age_upon_intake_in_days,0.02121206745505333
intake_condition_Other,0.010375501587986946,color_Orange Tabby/White,0.01139436848461628,color_White/Brown Tabby,0.01470660325139761
color_Orange Tabby/White,0.00788746029138565,age_upon_intake_in_days,0.01101116742938757,color_Gray Tabby,0.013133388943970203
intake_type_Owner Surrender,0.007710020989179611,color_Blue Tabby,0.01078021340072155,sex_upon_intake_Neutered Male,0.012287342920899391
breed_American Shorthair Mix,0.007046987302601337,intake_type_Owner Surrender,0.010741879232227802,intake_condition_Feral,0.011254167184233665
intake_type_Abandoned,0.006974668707698584,color_Cream Tabby,0.010183917358517647,intake_type_Owner Surrender,0.010576886124908924
color_Blue Tabby/White,0.006837302818894386,color_Brown Tabby/White,0.010086040012538433,color_Black/Black,0.010271534323692322
intake_condition_Nursing,0.006811343599110842,intake_condition_Feral,0.009933375753462315,breed_Domestic Longhair Mix,0.00957565102726221
color_Blue Tabby,0.006701943930238485,breed_American Shorthair Mix,0.009349782951176167,intake_type_Public Assist,0.009286153130233288
sex_upon_intake_Neutered Male,0.006687481887638569,breed_Domestic Shorthair,0.009315432980656624,color_Blue Tabby/White,0.008777808398008347
breed_Siamese Mix,0.006680001970380545,color_White/Brown Tabby,0.009225117973983288,color_White,0.008628121577203274
color_White,0.006180629134178162,color_Gray/White,0.00918812956660986,color_Cream Tabby/White,0.0079010259360075
intake_type_Public Assist,0.006008949596434832,color_Orange Tabby,0.009128104895353317,intake_condition_Other,0.007829480804502964
color_Gray/White,0.005807825829833746,color_Blue/White,0.00909472443163395,color_Orange Tabby,0.007798939011991024
color_Torbie/White,0.005780553910881281,color_White,0.00897306390106678,color_Gray/White,0.007444656919687986
color_Tortie,0.005738706327974796,breed_Domestic Medium Hair Mix,0.008828035555779934,intake_type_Abandoned,0.007378886919468641
color_White/Orange Tabby,0.005698870401829481,color_Blue Tabby/White,0.008716742508113384,intake_condition_Nursing,0.007223102729767561
color_Orange/White,0.005572824738919735,color_Brown Tabby/Black,0.00852073635905981,color_Tortie Point,0.007173785474151373
color_White/Gray,0.005555723328143358,color_Gray Tabby,0.00850258581340313,color_Torbie,0.0071139526553452015
color_Tortie Point,0.005495003424584866,breed_Domestic Shorthair Mix,0.008224832825362682,color_Tortie,0.006938102189451456
color_Torbie,0.0054081943817436695,intake_type_Public Assist,0.008089237846434116,color_Brown Tabby/Black,0.006916727405041456
breed_Domestic Shorthair,0.005325186997652054,color_Black/White,0.00788415689021349,color_Orange,0.006907949689775705
color_Black/White,0.005234362091869116,color_Calico,0.007742530666291714,color_White/Black,0.006755811162292957
color_Orange,0.005204802844673395,intake_type_Euthanasia Request,0.007732619531452656,breed_Snowshoe Mix,0.00659220153465867
color_Brown Tabby,0.005115206819027662,breed_Domestic Longhair Mix,0.007729440927505493,color_Gray Tabby/White,0.006591660901904106
color_Gray,0.0050993203185498714,color_Blue,0.0074280924163758755,color_Calico,0.006585069000720978
color_Flame Point,0.005020633339881897,color_White/Black,0.007373177912086248,breed_Domestic Shorthair,0.006484836805611849
breed_Siamese,0.005018966738134623,sex_upon_intake_Intact Female,0.007372827269136906,color_Orange/White,0.006470757536590099
color_Brown Tabby/White,0.00490161357447505,color_Orange,0.007304290309548378,breed_Domestic Medium Hair Mix,0.006435497663915157
color_Calico/White,0.004858770873397589,color_Brown Tabby,0.007064183708280325,color_Orange Tabby/White,0.006287615746259689
color_Black,0.0048343464732170105,breed_Domestic Longhair,0.0068873455747962,breed_American Shorthair Mix,0.006019119173288345
color_Calico,0.004752208478748798,color_Tortie,0.006788755767047405,color_Blue,0.0060097998939454556
breed_Domestic Medium Hair Mix,0.004630142357200384,color_Black,0.006720383185893297,color_Silver Tabby,0.005992548074573278
color_Lilac Point,0.004595751874148846,color_Torbie/White,0.006452877074480057,color_White/Cream Tabby,0.005924539174884558
intake_condition_Feral,0.004536507651209831,color_Black Tabby,0.006449239794164896,color_Torbie/White,0.0057459622621536255
color_Black Tabby,0.00451018987223506,intake_condition_Other,0.006267867982387543,breed_Domestic Medium Hair,0.005521343555301428
color_Cream Tabby,0.0044182902202010155,color_Seal Point,0.006246502511203289,color_Cream Tabby,0.005521257407963276
color_Cream Tabby/White,0.0043755886144936085,color_Gray,0.006171084940433502,color_Brown Tabby/White,0.005414379294961691
color_Blue/White,0.004336221143603325,color_White/Orange,0.006082620471715927,breed_Domestic Shorthair Mix,0.005372597835958004
intake_condition_Injured,0.0042480891570448875,color_Cream Tabby/White,0.005847419146448374,color_Calico/White,0.005326168145984411
color_Seal Point,0.004231435712426901,sex_upon_intake_Neutered Male,0.005786698777228594,color_Lilac Point,0.005302885081619024
breed_Domestic Longhair,0.00420742854475975,color_Cream,0.005460521671921015,breed_Siamese Mix,0.0051858252845704556
breed_Snowshoe Mix,0.004167922772467136,color_Torbie,0.0054121254943311214,color_Blue Tabby,0.005041414871811867
breed_Domestic Shorthair Mix,0.003965867683291435,sex_upon_intake_Intact Male,0.005299298092722893,color_Gray,0.005040313117206097
color_White/Black,0.0039009861648082733,breed_Domestic Medium Hair,0.004938742145895958,color_Black,0.004940197337418795
breed_Domestic Longhair Mix,0.0037457032594829798,color_Lilac Point,0.0049376883544027805,breed_Siamese,0.004872989375144243
color_White/Cream Tabby,0.003735367674380541,sex_upon_intake_Spayed Female,0.004925695713609457,breed_Domestic Longhair,0.004795555956661701
color_Orange Tabby,0.0037082210183143616,intake_condition_Aged,0.004895368125289679,color_Lynx Point/White,0.004716124851256609
breed_Domestic Medium Hair,0.0036223980132490396,breed_Siamese,0.004613999743014574,breed_Maine Coon,0.004600483924150467
color_Black/Black,0.0036033871583640575,intake_condition_Medical,0.0046063982881605625,color_White/Blue,0.004572832956910133
breed_Ragdoll Mix,0.003580991644412279,breed_American Shorthair,0.004579014144837856,color_Black Tabby/White,0.004495457746088505
color_Brown Tabby/Black,0.0035117838997393847,color_Black Smoke,0.004571452736854553,color_Brown,0.0043655638583004475
sex_upon_intake_Intact Female,0.0034280065447092056,intake_condition_Neonatal,0.004089848138391972,color_Black Tabby,0.004091138951480389
color_Lynx Point/White,0.0033294400200247765,color_White/Blue,0.003961323760449886,color_Brown Tabby,0.004013474099338055
color_Brown,0.0031715882942080498,color_Silver Tabby,0.003947926685214043,color_Seal Point/White,0.003972913138568401
sex_upon_intake_Intact Male,0.0030840709805488586,breed_Siamese Mix,0.0038174986839294434,color_Black/White,0.0039715636521577835
color_Gray Tabby/White,0.003075738437473774,color_Flame Point,0.0038074657786637545,sex_upon_intake_Intact Male,0.0038682136218994856
color_White/Brown Tabby,0.0026564474683254957,color_White/Gray,0.0037608167622238398,color_Blue/White,0.0038666885811835527
breed_Maine Coon,0.0024821236729621887,intake_condition_Pregnant,0.003697546198964119,sex_upon_intake_Intact Female,0.003792596748098731
intake_type_Euthanasia Request,0.002413790440186858,color_Lynx Point,0.0036632660776376724,color_Gray/Gray,0.0033703462686389685
intake_condition_Neonatal,0.002385368337854743,color_Gray Tabby/White,0.003613385371863842,intake_condition_Aged,0.0033542548771947622
color_Tortie/White,0.00236106151714921,color_Tortie/White,0.0035989838652312756,intake_condition_Medical,0.0033153078984469175
breed_Russian Blue Mix,0.0023286740761250257,breed_Russian Blue,0.0035135881043970585,color_Cream/White,0.0030676042661070824
color_Blue,0.002265852177515626,breed_Manx Mix,0.0032827805262058973,color_Blue Point,0.0030156366992741823
