adopt_feature,adopt_importance,euth_feature,euth_importance,transfer_feature,transfer_importance
intake_condition_Normal,0.05393807590007782,intake_condition_Normal,0.11311569809913635,sex_upon_intake_Unknown,0.02608470246195793
sex_upon_intake_Unknown,0.04889419302344322,intake_type_Euthanasia Request,0.029589664191007614,breed_Shih Tzu Mix,0.019737228751182556
intake_type_Public Assist,0.019934318959712982,intake_condition_Nursing,0.029162021353840828,breed_Shih Tzu,0.016593966633081436
breed_Shih Tzu Mix,0.018399633467197418,breed_Labrador Retriever/Pit Bull,0.015062971040606499,intake_type_Public Assist,0.015829335898160934
intake_condition_Sick,0.01581931672990322,breed_Labrador Retriever/Pointer,0.014226754195988178,breed_Australian Kelpie Mix,0.015189501456916332
breed_Shih Tzu,0.015695087611675262,intake_type_Public Assist,0.013838054612278938,intake_condition_Normal,0.013910416513681412
breed_Lhasa Apso Mix,0.014989621937274933,sex_upon_intake_Unknown,0.013750489801168442,breed_Lhasa Apso Mix,0.013124771416187286
breed_Great Pyrenees Mix,0.011861213482916355,intake_condition_Aged,0.012964527122676373,breed_German Shepherd/Great Pyrenees,0.012941079214215279
breed_Dachshund,0.011167088523507118,breed_Boxer/Pit Bull,0.012717203237116337,intake_condition_Injured,0.012765222229063511
breed_Pug,0.009423929266631603,breed_Siberian Husky Mix,0.01148716639727354,breed_Anatol Shepherd Mix,0.01175890862941742
breed_Pug Mix,0.009210766293108463,breed_Standard Schnauzer,0.011232597753405571,breed_Pug,0.010917929001152515
breed_Siberian Husky,0.008634793572127819,breed_Rottweiler,0.010605253279209137,intake_type_Abandoned,0.009754937142133713
breed_Golden Retriever Mix,0.008368103764951229,breed_Chihuahua Shorthair Mix,0.010525410994887352,breed_Dachshund,0.009340069256722927
breed_Anatol Shepherd Mix,0.008354570716619492,intake_type_Stray,0.010176585055887699,breed_Border Collie/Labrador Retriever,0.009077643975615501
breed_Pekingese,0.007864384911954403,color_White/Brown Brindle,0.01006944291293621,breed_Jack Russell Terrier Mix,0.008819179609417915
breed_Labrador Retriever/Pit Bull,0.007819735445082188,color_Brown/Black,0.009808856062591076,breed_Pomeranian Mix,0.008779598399996758
breed_Pit Bull Mix,0.007632345426827669,breed_Pit Bull Mix,0.009807979688048363,breed_Siberian Husky Mix,0.008775913156569004
intake_type_Stray,0.007451065815985203,age_upon_intake_in_days,0.009628462605178356,breed_Pug Mix,0.008681313134729862
color_Brown,0.00744001567363739,breed_Boxer,0.009501919150352478,color_Blue/White,0.008250996470451355
intake_type_Euthanasia Request,0.006886767223477364,breed_Chihuahua Shorthair/Dachshund,0.009377448819577694,breed_Pekingese,0.00811886228621006
breed_Miniature Poodle,0.006857287138700485,color_White/Red,0.00902694184333086,breed_Cocker Spaniel,0.008007034659385681
breed_German Shepherd Mix,0.0067023104056715965,color_Brown Brindle,0.008924015797674656,breed_Great Pyrenees Mix,0.007920968346297741
breed_Golden Retriever/Labrador Retriever,0.006579909473657608,color_Tan/Brown,0.008669380098581314,breed_Pointer,0.007904971949756145
breed_Great Pyrenees,0.006576575804501772,breed_Chihuahua Shorthair,0.008517318405210972,breed_Border Collie Mix,0.007814491167664528
breed_Australian Cattle Dog Mix,0.00655233021825552,color_Brown Brindle/White,0.008502483367919922,breed_Siberian Husky,0.0077666183933615685
breed_Chihuahua Shorthair/Pomeranian,0.006513610016554594,color_Brown Brindle/Black,0.008273511193692684,breed_Chihuahua Shorthair/Dachshund,0.007446336559951305
breed_Chihuahua Shorthair,0.006490496452897787,color_Red,0.008200529031455517,color_Brown Brindle,0.007236274890601635
breed_Siberian Husky Mix,0.006485089659690857,breed_Staffordshire Mix,0.008168292231857777,breed_Golden Retriever,0.0071204123087227345
breed_Black Mouth Cur/Doberman Pinsch,0.006154743954539299,color_Black Brindle/White,0.007976449094712734,breed_Australian Cattle Dog Mix,0.007038025185465813
breed_Labrador Retriever,0.00611593434587121,breed_Rottweiler Mix,0.007903499528765678,intake_condition_Sick,0.00693858228623867
breed_Golden Retriever,0.006090812850743532,color_Yellow,0.007832670584321022,breed_Belgian Malinois Mix,0.0069346181116998196
breed_American Staffordshire Terrier,0.006060957908630371,breed_Shetland Sheepdog Mix,0.00781906209886074,breed_Maltese,0.006882471032440662
breed_German Shepherd,0.006058528088033199,sex_upon_intake_Spayed Female,0.007799905724823475,breed_German Shepherd Mix,0.006865009665489197
breed_Border Collie/Labrador Retriever,0.005962213966995478,breed_Labrador Retriever,0.007799643557518721,color_Black/Brown,0.00670763710513711
color_Chocolate,0.005852869246155024,color_Black/Tan,0.007732747122645378,color_Brown,0.006603115703910589
breed_Pomeranian Mix,0.005840012338012457,color_Brown/White,0.0077262925915420055,breed_Pit Bull Mix,0.006496830843389034
breed_Miniature Schnauzer,0.005800681654363871,intake_condition_Injured,0.007636161986738443,breed_Pekingese Mix,0.0064732786267995834
color_Brown Brindle/White,0.0055945501662790775,color_Tan/White,0.007580853532999754,breed_Golden Retriever Mix,0.006468502338975668
color_White,0.005579733289778233,intake_condition_Medical,0.007382509298622608,intake_type_Stray,0.006417895667254925
breed_Cocker Spaniel Mix,0.005490020848810673,color_Sable,0.007298596203327179,color_Gray,0.006363953463733196
breed_Cocker Spaniel,0.005467821378260851,breed_Welsh Terrier Mix,0.007298446726053953,breed_Black Mouth Cur/Doberman Pinsch,0.006347046233713627
breed_Maltese,0.00540423858910799,breed_Miniature Poodle Mix,0.0071555799804627895,color_Brown Brindle/White,0.0062644220888614655
breed_Belgian Malinois Mix,0.005362240597605705,breed_Boxer Mix,0.00711534870788455,breed_Beagle/Jack Russell Terrier,0.006257064174860716
breed_Anatol Shepherd,0.0053193154744803905,color_Tan/Black,0.007107432000339031,color_White,0.00620893482118845
breed_Bull Terrier Mix,0.00521019846200943,intake_condition_Pregnant,0.007102017290890217,breed_Chihuahua Shorthair/Jack Russell Terrier,0.006155113223940134
breed_Yorkshire Terrier Mix,0.00514864269644022,color_Tan,0.007083775941282511,color_Chocolate,0.006125160958617926
breed_Pekingese Mix,0.005103168543428183,intake_type_Owner Surrender,0.007039240095764399,breed_Bull Terrier Mix,0.005944866221398115
breed_German Shepherd/Labrador Retriever,0.005014697555452585,breed_Pointer Mix,0.007017506752163172,breed_Chinese Sharpei,0.005747525952756405
breed_Border Terrier,0.004971873015165329,breed_American Pit Bull Terrier,0.007011410314589739,breed_Chihuahua Shorthair/Pomeranian,0.00563348364084959
breed_Border Collie Mix,0.004903100430965424,breed_Siberian Husky,0.0070051029324531555,intake_condition_Pregnant,0.005453427322208881
color_Blue/White,0.004874748177826405,color_Black,0.00696662999689579,color_Cream,0.0054410165175795555
breed_Jack Russell Terrier Mix,0.0048681218177080154,color_Black/Brown,0.006940324325114489,breed_Beagle/Pug,0.005422886926680803
breed_Lhasa Apso/Miniature Poodle,0.0048651741817593575,breed_Labrador Retriever Mix,0.006820007227361202,breed_Chihuahua Shorthair,0.00539917778223753
breed_Blue Lacy Mix,0.004848390817642212,color_Blue/Tan,0.006816735025495291,breed_Yorkshire Terrier,0.0053604585118591785
breed_Staffordshire Mix,0.004801606759428978,breed_Australian Shepherd Mix,0.00669783353805542,breed_Miniature Schnauzer,0.005278186406940222
color_Black/Brown,0.004747559782117605,breed_Cairn Terrier Mix,0.006635007914155722,breed_German Shepherd,0.005268101114779711
breed_Miniature Poodle/Shih Tzu,0.0047053187154233456,breed_German Shepherd,0.006589163560420275,breed_Lhasa Apso/Miniature Poodle,0.0052618240006268024
breed_Vizsla/Weimaraner,0.004612786695361137,breed_Anatol Shepherd Mix,0.006402184721082449,breed_Alaskan Husky/German Shepherd,0.005238329991698265
